GraphRAG Ground Truth Dataset - COURSES AI,,,,,,,,,,,,
x Bắt buộc điền | v Tuỳ chọn (để trống nếu không có) | Mỗi hàng = 1 test case,,,,,,,,,,,,
x id,x query,x query_type,x ground_truth_answer,x gold_entities,x relevant_node_ids,v gold_path,v gold_hop_count,v expected_communities,v source_document,v annotator,v notes,
q012,học môn gì để có thể ra trường làm lập trình viên,multi_hop,"Để trở thành lập trình viên, bạn nên học các môn sau đây:
Lập trình java - Mã môn: CNTT1153
Lập trình python - Mã môn: CNTT1180
Lập trình hướng đối tượng - Mã môn: CNTT1131
Phân tích và thiết kế hệ thống - Mã môn: CNTT1117
Hệ quản trị cơ sở dữ liệu - Mã môn: CNTT1152
Phát triển ứng dụng di động - Mã môn: CNTT1157
Lập trình web - Mã môn: CNTT1188",KHÓA LUẬN TỐT NGHIỆP; CHUYÊN ĐỀ THỰC TẾ; QUẢN TRỊ THƯƠNG HIỆU; KIỂM SOÁT NỘI BỘ; KHOÁ LUẬN TỐT NGHIỆP; QUẢN TRỊ ĐA VĂN HÓA; PHÁP LUẬT KINH DOANH QUỐC TẾ; TIN HỌC ĐẠI CƯƠNG,4:faea6990-b4df-4778-b420-d71faa741085:2754; 4:faea6990-b4df-4778-b420-d71faa741085:1023; 4:faea6990-b4df-4778-b420-d71faa741085:130; 4:faea6990-b4df-4778-b420-d71faa741085:3568; 4:faea6990-b4df-4778-b420-d71faa741085:2569; 4:faea6990-b4df-4778-b420-d71faa741085:3591; 4:faea6990-b4df-4778-b420-d71faa741085:4128; 4:faea6990-b4df-4778-b420-d71faa741085:735,LẬP TRÌNH VIÊN; KHOA HỌC MÁY TÍNH; CÔNG NGHỆ THÔNG TIN,2,,CAR-Lập trình viên; CUR-CTĐT ngành Công nghệ thông tin; CUR-CTĐT ngành Khoa học máy tính,Quybui,"Các nodes có label ""CAREER""  gần với node ""CÔNG NGHỆ THÔNG TIN"" và ""KHOA HỌC MÁY TÍNH""",
q013,Nghề Data Analyst có yêu cầu kỹ năng giao tiếp không?,global,"Nghề data analyst yêu cầu kỹ năng giao tiếp, cụ thể là ""kỹ năng giao tiếp và diễn giải dữ liệu"". Kỹ năng này rất quan trọng để bạn có thể truyền đạt thông tin và phân tích dữ liệu một cách hiệu quả.

","KỸ NĂNG LÀM VIỆC NHÓM; KỸ NĂNG GIAO TIẾP; NĂNG LỰC TỰ NGHIÊN CỨU; CHỦ ĐỘNG TRONG TRÌNH BÀY KẾT QUẢ NGHIÊN CỨU; NĂNG LỰC TỰ CHỦ VÀ TRÁCH NHIỆM; KỸ NĂNG TRÌNH BÀY; CÓ NĂNG LỰC TỰ NGHIÊN CỨU, TÍCH LŨY VÀ NÂNG CAO KIẾN THỨC; SỬ DỤNG CÁC CÔNG CỤ THỐNG KÊ VÀ TRUY VẤN; NGÔN NGỮ LẬP TRÌNH; CÔNG CỤ TRỰC QUAN HÓA; KIẾN THỨC VỀ TOÁN HỌC, THỐNG KÊ VÀ KHAI PHÁ DỮ LIỆU; KỸ NĂNG QUAN SÁT, TƯ DUY LOGIC VÀ PHÂN TÍCH; KỸ NĂNG GIAO TIẾP VÀ DIỄN GIẢI DỮ LIỆU; GIẢI QUYẾT VẤN ĐỀ VÀ LÀM VIỆC NHÓM; QUẢN LÝ THỜI GIAN VÀ TỔ CHỨC CÔNG VIỆC; QUẢN LÝ THỜI GIAN; KIẾN THỨC CƠ BẢN VỀ DOANH NGHIỆP; VẬN DỤNG KỸ NĂNG LÀM VIỆC NHÓM; KỸ NĂNG PHÂN TÍCH, TỔNG HỢP THÔNG TIN; KỸ NĂNG VẬN DỤNG KIẾN THỨC PHÁP LÝ",4:faea6990-b4df-4778-b420-d71faa741085:311; 4:faea6990-b4df-4778-b420-d71faa741085:237; 4:faea6990-b4df-4778-b420-d71faa741085:497; 4:faea6990-b4df-4778-b420-d71faa741085:2481; 4:faea6990-b4df-4778-b420-d71faa741085:2980; 4:faea6990-b4df-4778-b420-d71faa741085:4133; 4:faea6990-b4df-4778-b420-d71faa741085:4149; 4:faea6990-b4df-4778-b420-d71faa741085:245; 4:faea6990-b4df-4778-b420-d71faa741085:246; 4:faea6990-b4df-4778-b420-d71faa741085:247; 4:faea6990-b4df-4778-b420-d71faa741085:248; 4:faea6990-b4df-4778-b420-d71faa741085:249; 4:faea6990-b4df-4778-b420-d71faa741085:250; 4:faea6990-b4df-4778-b420-d71faa741085:251; 4:faea6990-b4df-4778-b420-d71faa741085:252; 4:faea6990-b4df-4778-b420-d71faa741085:486; 4:faea6990-b4df-4778-b420-d71faa741085:4168; 4:faea6990-b4df-4778-b420-d71faa741085:4148; 4:faea6990-b4df-4778-b420-d71faa741085:4139; 4:faea6990-b4df-4778-b420-d71faa741085:496,,,5; 9; 14; 15; 16,CAR-Data Analyst,Quybui,,
q015,Ai dạy môn lập trình java?,single_hop,"Môn LẬP TRÌNH JAVA (mã môn: CNTT1153) được giảng dạy bởi các giảng viên sau:
1. THS. PHẠM THẢO
2. TS. PHẠM XUÂN LÂM",THIẾT KẾ WEB; LẬP TRÌNH JAVA; CƠ SỞ LẬP TRÌNH; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; LẬP TRÌNH PYTHON; LẬP TRÌNH WEB; PHÁT TRIỂN ỨNG DỤNG DI ĐỘNG; AN TOÀN THÔNG TIN; KHOA HỌC MÁY TÍNH; THS. PHẠM THẢO; TS. PHẠM XUÂN LÂM,4:faea6990-b4df-4778-b420-d71faa741085:509; 4:faea6990-b4df-4778-b420-d71faa741085:510; 4:faea6990-b4df-4778-b420-d71faa741085:512; 4:faea6990-b4df-4778-b420-d71faa741085:513; 4:faea6990-b4df-4778-b420-d71faa741085:514; 4:faea6990-b4df-4778-b420-d71faa741085:519; 4:faea6990-b4df-4778-b420-d71faa741085:520; 4:faea6990-b4df-4778-b420-d71faa741085:508; 4:faea6990-b4df-4778-b420-d71faa741085:507; 4:faea6990-b4df-4778-b420-d71faa741085:502; 4:faea6990-b4df-4778-b420-d71faa741085:503,LẬP TRÌNH JAVA,,,SYL-LẬP TRÌNH JAVA_CNTT1153,Quybui,,
q016,Tuần 4 trong kế hoạch dạy học của môn Lập trình web học gì?,single_hop,"Trong tuần 4 của môn LẬP TRÌNH WEB (mã môn: CNTT1188), bạn sẽ học về các khái niệm và kỹ thuật liên quan đến thiết kế và phát triển ứng dụng web. Môn học này giúp bạn nắm vững các công nghệ và công cụ cần thiết để xây dựng các trang web và ứng dụng trực tuyến hiệu quả.",LẬP TRÌNH WEB; THIẾT KẾ VÀ LẬP TRÌNH WEB; THIẾT KẾ WEB; CƠ SỞ LẬP TRÌNH,4:faea6990-b4df-4778-b420-d71faa741085:112; 4:faea6990-b4df-4778-b420-d71faa741085:13; 4:faea6990-b4df-4778-b420-d71faa741085:111; 4:faea6990-b4df-4778-b420-d71faa741085:197,LẬP TRÌNH WEB,,,SYL-LẬP TRÌNH WEB_CNTT1188,Quybui,,
q017,Ngành Khoa học máy tính gồm những môn gì?,single_hop,"Danh sách các môn học ngành KHOA HỌC MÁY TÍNH (mã ngành: 7480101) đã được làm sạch:
ĐẠI SỐ (mã môn: TOCB1101)
CHỦ NGHĨA XÃ HỘI KHOA HỌC (mã môn: LLNL1107)
NHẬP MÔN CÔNG NGHỆ THÔNG TIN (mã môn: CNTT1116)
TIẾNG ANH CHUYÊN NGÀNH (mã môn: CNTT1192)
VẬT LÝ ĐẠI CƯƠNG (mã môn: CNTT1191)
HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU (mã môn: CNTT1152)
AN TOÀN VÀ BẢO MẬT THÔNG TIN (mã môn: CNTT1168)
......",CHUYÊN ĐỀ THỰC TẾ; ĐẠI SỐ; PHÁP LUẬT ĐẠI CƯƠNG; CHỦ NGHĨA XÃ HỘI KHOA HỌC; KINH TẾ VI MÔ 1; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; LÝ THUYẾT XÁC SUẤT VÀ THỐNG KÊ TOÁN; TIẾNG ANH CHUYÊN NGÀNH; HỌC MÁY; TRIẾT HỌC MÁC - LÊNIN; LỊCH SỬ ĐẢNG CỘNG SẢN VIỆT NAM; VẬT LÝ ĐẠI CƯƠNG; TƯ TƯỞNG HỒ CHÍ MINH; KINH TẾ CHÍNH TRỊ MÁC - LÊNIN; KINH TẾ VĨ MÔ 1; THIẾT KẾ WEB; PHÂN TÍCH VÀ THIẾT KẾ THUẬT TOÁN; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; LẬP TRÌNH PYTHON; KHÓA LUẬN TỐT NGHIỆP,4:faea6990-b4df-4778-b420-d71faa741085:110; 4:faea6990-b4df-4778-b420-d71faa741085:108; 4:faea6990-b4df-4778-b420-d71faa741085:34; 4:faea6990-b4df-4778-b420-d71faa741085:31; 4:faea6990-b4df-4778-b420-d71faa741085:35; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:109; 4:faea6990-b4df-4778-b420-d71faa741085:8; 4:faea6990-b4df-4778-b420-d71faa741085:451; 4:faea6990-b4df-4778-b420-d71faa741085:29; 4:faea6990-b4df-4778-b420-d71faa741085:106; 4:faea6990-b4df-4778-b420-d71faa741085:91; 4:faea6990-b4df-4778-b420-d71faa741085:107; 4:faea6990-b4df-4778-b420-d71faa741085:30; 4:faea6990-b4df-4778-b420-d71faa741085:36; 4:faea6990-b4df-4778-b420-d71faa741085:111; 4:faea6990-b4df-4778-b420-d71faa741085:15; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:12; 4:faea6990-b4df-4778-b420-d71faa741085:2615,KHOA HỌC MÁY TÍNH,,,CUR-CTĐT ngành Khoa học máy tính,Quybui,,
q018,Môn Trí tuệ nhân tạo dạy những kiến thức gì?,single_hop,"Môn TRÍ TUỆ NHÂN TẠO (mã môn: CNTT1140) cung cấp cho bạn những kiến thức về các phương pháp và kỹ thuật trong lĩnh vực trí tuệ nhân tạo. Bạn sẽ được học cách xây dựng các hệ thống có khả năng học hỏi và ra quyết định dựa trên dữ liệu, cũng như các ứng dụng thực tiễn của trí tuệ nhân tạo trong nhiều lĩnh vực khác nhau.
Môn học này cũng giúp phát triển các kỹ năng quan trọng như phân tích và thiết kế hệ thống, lập trình, và quản lý dự án công nghệ thông tin. Những kỹ năng này sẽ hỗ trợ bạn trong việc theo đuổi các nghề nghiệp liên quan đến công nghệ thông tin và trí tuệ nhân tạo.",TRÍ TUỆ NHÂN TẠO; HỌC MÁY; MẠNG KẾT NỐI VẠN VẬT; ỨNG DỤNG TRÍ TUỆ NHÂN TẠO TRONG KINH DOANH VÀ QUẢN LÝ; CƠ SỞ LẬP TRÌNH; THIẾT KẾ WEB; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; PHÂN TÍCH VÀ THIẾT KẾ THUẬT TOÁN; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; LẬP TRÌNH PYTHON; CHUYÊN ĐỀ THỰC TẾ NGÀNH CÔNG NGHỆ THÔNG TIN; CHUYÊN ĐỀ THỰC TẾ NGÀNH AN TOÀN THÔNG TIN; CHUYÊN ĐỀ THỰC TẾ NGÀNH KHOA HỌC MÁY TÍNH; AN TOÀN VÀ BẢO MẬT THÔNG TIN; BLOCKCHAIN VÀ ỨNG DỤNG; BẢO MẬT DỊCH VỤ ĐÁM MÂY; HỆ ĐIỀU HÀNH UNIX; PHÁT TRIỂN PHẦN MỀM HƯỚNG DỊCH VỤ,4:cf4ca2e2-0715-4f09-bc7e-42ae91807507:22; 4:faea6990-b4df-4778-b420-d71faa741085:451; 4:faea6990-b4df-4778-b420-d71faa741085:20; 4:faea6990-b4df-4778-b420-d71faa741085:747; 4:faea6990-b4df-4778-b420-d71faa741085:197; 4:faea6990-b4df-4778-b420-d71faa741085:111; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:15; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:12; 4:faea6990-b4df-4778-b420-d71faa741085:1401; 4:faea6990-b4df-4778-b420-d71faa741085:9; 4:faea6990-b4df-4778-b420-d71faa741085:1417; 4:faea6990-b4df-4778-b420-d71faa741085:113; 4:faea6990-b4df-4778-b420-d71faa741085:24; 4:faea6990-b4df-4778-b420-d71faa741085:18; 4:faea6990-b4df-4778-b420-d71faa741085:5; 4:faea6990-b4df-4778-b420-d71faa741085:117,TRÍ TUỆ NHÂN TẠO,,,,Quybui,,
q019,Ngành Công nghệ thông tin học về lĩnh vực nào?,multi_hop,"Ngành Công nghệ thông tin (mã ngành: 7480201) học về lĩnh vực ứng dụng công nghệ thông tin trong quản lý và phát triển hệ thống thông tin. Một số môn học tiêu biểu trong chương trình đào tạo bao gồm:
Nhập môn Công nghệ thông tin (mã môn: CNTT1116)
Khóa luận tốt nghiệp (mã môn: CNTT1194)
Phát triển ứng dụng di động (mã môn: CNTT1157)
Hệ quản trị cơ sở dữ liệu (mã môn: CNTT1152)
Ngành này cũng hướng đến các nghề nghiệp như kỹ sư phần mềm và lập trình viên.",KHÓA LUẬN TỐT NGHIỆP; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; TIẾNG ANH CHUYÊN NGÀNH; MẠNG KẾT NỐI VẠN VẬT; VẬT LÝ ĐẠI CƯƠNG; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU; CƠ SỞ DỮ LIỆU; LẬP TRÌNH HƯỚNG ĐỐI TƯỢNG; QUẢN LÝ DỰ ÁN CÔNG NGHỆ THÔNG TIN; KHÓA LUẬN TỐT NGHIỆP NGÀNH CÔNG NGHỆ THÔNG TIN; PHÁT HIỆN TRI THỨC TỪ DỮ LIỆU; PHÁT TRIỂN ỨNG DỤNG DI ĐỘNG; CÁC CÔNG NGHỆ ẢO HÓA; MẠNG MÁY TÍNH VÀ TRUYỀN SỐ LIỆU; CÁC CÔNG NGHỆ HIỆN ĐẠI TRONG CNTT; ĐIỆN TOÁN ĐÁM MÂY; CÔNG NGHỆ ĐA PHƯƠNG TIỆN; CƠ SỞ LẬP TRÌNH; QUẢN TRỊ MẠNG,4:faea6990-b4df-4778-b420-d71faa741085:2615; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:8; 4:faea6990-b4df-4778-b420-d71faa741085:20; 4:faea6990-b4df-4778-b420-d71faa741085:91; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:4; 4:faea6990-b4df-4778-b420-d71faa741085:92; 4:faea6990-b4df-4778-b420-d71faa741085:94; 4:faea6990-b4df-4778-b420-d71faa741085:19; 4:faea6990-b4df-4778-b420-d71faa741085:461; 4:faea6990-b4df-4778-b420-d71faa741085:96; 4:faea6990-b4df-4778-b420-d71faa741085:103; 4:faea6990-b4df-4778-b420-d71faa741085:102; 4:faea6990-b4df-4778-b420-d71faa741085:3; 4:faea6990-b4df-4778-b420-d71faa741085:100; 4:faea6990-b4df-4778-b420-d71faa741085:99; 4:faea6990-b4df-4778-b420-d71faa741085:97; 4:faea6990-b4df-4778-b420-d71faa741085:197; 4:faea6990-b4df-4778-b420-d71faa741085:6,CÔNG NGHỆ THÔNG TIN,,,CUR-CTĐT ngành Công nghệ thông tin,Quybui,,
q020,Nghề Tester yêu cầu những kỹ năng gì và phù hợp với sinh viên ngành nào?,global,"Nghề Tester yêu cầu một số kỹ năng quan trọng như:
Tỉ mỉ, chú ý đến chi tiết.
Kỹ năng làm việc nhóm.
Kỹ năng giao tiếp.
Hiểu biết về đặc thù ngành nghề kinh doanh của doanh nghiệp.
Nắm vững vòng đời phát triển hệ thống.
Có tư duy phân tích.
Thành thạo các công cụ kiểm thử.",TESTER,4:cf4ca2e2-0715-4f09-bc7e-42ae91807507:340,,,0; 2; 7; 9; 10; 13; 14; 16; 18,CAR-Tester,Quybui,"Các nodes có label ""SKILL"" liên kết với node ""TESTER""",
q021,Ngành học nào giúp sinh viên phát triển kĩ năng lập trình?,multi_hop,"Ngành Công nghệ thông tin và Khoa học máy tính là hai ngành giúp sinh viên phát triển kỹ năng lập trình tốt nhất.
Các ngành này tập trung vào học lập trình, thuật toán, cấu trúc dữ liệu và phát triển phần mềm thông qua nhiều môn học thực hành như C/C++, Java, Python và lập trình web. Ngoài ra, các ngành như Kỹ thuật phần mềm và Hệ thống thông tin cũng giúp sinh viên rèn luyện kỹ năng lập trình thông qua các dự án và bài tập thực tế.",CÔNG NGHỆ THÔNG TIN; HỆ THỐNG THÔNG TIN QUẢN LÝ; CƠ SỞ DỮ LIỆU; PHÁT TRIỂN CÁC ỨNG DỤNG WEB; KỸ NGHỆ PHẦN MỀM,4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:733; 4:faea6990-b4df-4778-b420-d71faa741085:92; 4:faea6990-b4df-4778-b420-d71faa741085:550; 4:faea6990-b4df-4778-b420-d71faa741085:741,KỸ NĂNG LẬP TRÌNH; CÔNG NGHỆ THÔNG TIN: KHOA HỌC MÁY TÍNH,2,,CAR-Lập trình game; CUR-CTĐT ngành Công nghệ thông tin; CUR-CTĐT ngành Khoa học máy tính,Quybui,,
q022,Nghề lập trình game học có khó không,multi_hop,"Nghề lập trình game có thể được coi là khó khăn, vì nó yêu cầu nhiều kỹ năng khác nhau. Cụ thể, bạn cần có:
Kỹ năng lập trình - Đây là kỹ năng cơ bản và quan trọng nhất trong nghề lập trình game.
Sáng tạo và tư duy logic - Bạn cần có khả năng sáng tạo để thiết kế các trò chơi hấp dẫn và tư duy logic để giải quyết các vấn đề phát sinh trong quá trình lập trình.
Toán học và vật lý - Nhiều trò chơi yêu cầu kiến thức về toán học và vật lý để tạo ra các chuyển động và tương tác trong game.
Kỹ năng giải quyết vấn đề - Bạn sẽ thường xuyên phải đối mặt với các vấn đề kỹ thuật và cần có khả năng tìm ra giải pháp hiệu quả.
Nếu bạn quan tâm đến ngành học liên quan, có thể tham khảo môn học công nghệ đa phương tiện với mã môn CNTT1149. Ngành này sẽ giúp bạn trang bị những kiến thức cần thiết để theo đuổi nghề lập trình game.",LẬP TRÌNH GAME; SÁNG TẠO VÀ TƯ DUY LOGIC; KỸ NĂNG LẬP TRÌNH,"4:cf4ca2e2-0715-4f09-bc7e-42ae91807507:311; 4:faea6990-b4df-4778-b420-d71faa741085:307; 
4:faea6990-b4df-4778-b420-d71faa741085:305

",LẬP TRÌNH GAME; SÁNG TẠO VÀ TƯ DUY LOGIC; KỸ NĂNG LẬP TRÌNH,2,,CAR-Lập trình game,Quybui,,
q023,Học công nghệ thông tin ở neu có ưu điểm gì không,global,"Học Công nghệ thông tin tại Đại học Kinh tế Quốc dân (mã ngành: 7480201) có nhiều ưu điểm nổi bật. Chương trình đào tạo cung cấp cho sinh viên những kiến thức vững chắc về các lĩnh vực như phát triển ứng dụng di động (mã môn: CNTT1157), hệ quản trị cơ sở dữ liệu (mã môn: CNTT1152), và lập trình hướng đối tượng (mã môn: CNTT1131).
Ngoài ra, sinh viên còn được trang bị những kỹ năng cần thiết cho nghề nghiệp như kỹ năng giao tiếp và khả năng phân tích, thiết kế hệ thống. Các cơ hội nghề nghiệp sau khi tốt nghiệp rất đa dạng, bao gồm vị trí kỹ sư phần mềm và lập trình viên.
Chương trình học cũng chú trọng đến các công nghệ hiện đại trong lĩnh vực CNTT, giúp sinh viên nắm bắt xu hướng và phát triển kỹ năng phù hợp với yêu cầu của thị trường lao động.",CÔNG NGHỆ THÔNG TIN; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; LẬP TRÌNH HƯỚNG ĐỐI TƯỢNG; HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU; QUẢN LÝ DỰ ÁN CÔNG NGHỆ THÔNG TIN; DATA ANALYST; TESTER; KIỂM THỬ TỰ ĐỘNG,4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:94; 4:faea6990-b4df-4778-b420-d71faa741085:4; 4:faea6990-b4df-4778-b420-d71faa741085:19; 4:faea6990-b4df-4778-b420-d71faa741085:241; 4:faea6990-b4df-4778-b420-d71faa741085:330; 4:faea6990-b4df-4778-b420-d71faa741085:215,,,19; 4; 5,CUR-CTĐT ngành Công nghệ thông tin,Quybui,,
q024,Nên chọn ngành an toàn thông tin hay kỹ thuật phần mềm nếu em giỏi giao tiếp hơn lập trình,global,"Nếu bạn giỏi giao tiếp hơn, ngành an toàn thông tin (mã ngành: 7480202) có thể là lựa chọn tốt hơn so với kỹ thuật phần mềm (mã ngành: 7480103).
Ngành an toàn thông tin cung cấp nhiều môn học liên quan đến giao tiếp và quản lý như ""quản lý dự án công nghệ thông tin"" và ""pháp luật trong thương mại điện tử"". Những môn học này không chỉ giúp bạn phát triển kỹ năng chuyên môn mà còn nâng cao khả năng giao tiếp và quản lý dự án.
Trong khi đó, kỹ thuật phần mềm thường tập trung nhiều hơn vào các khía cạnh kỹ thuật và lập trình, có thể không phù hợp với sở trường giao tiếp của bạn.
Vì vậy, với khả năng giao tiếp tốt, ngành an toàn thông tin có thể mang lại nhiều cơ hội nghề nghiệp hơn cho bạn.",KHOA HỌC MÁY TÍNH; AN TOÀN THÔNG TIN; CÔNG NGHỆ THÔNG TIN; KỸ THUẬT PHẦN MỀM; KHÓA LUẬN TỐT NGHIỆP; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; TIẾNG ANH CHUYÊN NGÀNH; MẠNG KẾT NỐI VẠN VẬT; DATA ENGINEER; PHÂN TÍCH VÀ THIẾT KẾ THUẬT TOÁN; LẬP TRÌNH PYTHON; HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU; KIỂM THỬ TỰ ĐỘNG; CHUYÊN ĐỀ THỰC TẾ NGÀNH AN TOÀN THÔNG TIN; LẬP TRÌNH JAVA; TESTER; QUẢN LÝ DỰ ÁN CÔNG NGHỆ THÔNG TIN; AN NINH KHÔNG GIAN MẠNG; KHÓA LUẬN TỐT NGHIỆP NGÀNH CÔNG NGHỆ THÔNG TIN; BLOCKCHAIN VÀ ỨNG DỤNG,4:faea6990-b4df-4778-b420-d71faa741085:105; 4:faea6990-b4df-4778-b420-d71faa741085:1; 4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:159; 4:faea6990-b4df-4778-b420-d71faa741085:2576; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:8; 4:faea6990-b4df-4778-b420-d71faa741085:20; 4:faea6990-b4df-4778-b420-d71faa741085:254; 4:faea6990-b4df-4778-b420-d71faa741085:15; 4:faea6990-b4df-4778-b420-d71faa741085:12; 4:faea6990-b4df-4778-b420-d71faa741085:4; 4:faea6990-b4df-4778-b420-d71faa741085:215; 4:faea6990-b4df-4778-b420-d71faa741085:9; 4:faea6990-b4df-4778-b420-d71faa741085:14; 4:faea6990-b4df-4778-b420-d71faa741085:330; 4:faea6990-b4df-4778-b420-d71faa741085:19; 4:faea6990-b4df-4778-b420-d71faa741085:23; 4:faea6990-b4df-4778-b420-d71faa741085:461; 4:faea6990-b4df-4778-b420-d71faa741085:24,,,5; 8; 13; 18; 19,CUR-CTĐT ngành Kỹ thuât phần mềm; SYL-An toàn và bảo mật thông tin_CNTT1168,Quybui,,
q025,Môn chủ nghĩa xã hội khoa học là học về gì?,single_hop,"Môn Chủ nghĩa xã hội khoa học (mã môn: LLNL1107) học về các quan điểm cơ bản của chủ nghĩa Mác - Lênin, bao gồm kiến thức về chủ nghĩa xã hội, nhận thức đầy đủ và đúng bản chất của nền dân chủ xã hội chủ nghĩa, cũng như khả năng tự học tập và làm việc độc lập. Môn học này cũng cung cấp những phương pháp luận và phương pháp chuyên ngành cần thiết trong lĩnh vực này.",CHỦ NGHĨA XÃ HỘI KHOA HỌC; KHẢ NĂNG LÀM VIỆC ĐỘC LẬP VÀ THEO NHÓM; KIẾN THỨC CƠ BẢN VỀ CHỦ NGHĨA XÃ HỘI; QUAN ĐIỂM CƠ BẢN CHỦ NGHĨA MÁC – LÊNIN VỀ GIA CẤP CÔNG NHÂN; NHẬN THỨC ĐẦY ĐỦ VÀ ĐÚNG BẢN CHẤT CỦA NỀN DÂN CHỦ XÃ HỘI CHỦ NGHĨA,4:faea6990-b4df-4778-b420-d71faa741085:31; 4:faea6990-b4df-4778-b420-d71faa741085:394; 4:faea6990-b4df-4778-b420-d71faa741085:31; 4:faea6990-b4df-4778-b420-d71faa741085:31; 4:faea6990-b4df-4778-b420-d71faa741085:31,CHỦ NGHĨA XÃ HỘI KHOA HỌC; KHẢ NĂNG LÀM VIỆC ĐỘC LẬP VÀ THEO NHÓM; KIẾN THỨC CƠ BẢN VỀ CHỦ NGHĨA XÃ HỘI; QUAN ĐIỂM CƠ BẢN CHỦ NGHĨA MÁC – LÊNIN VỀ GIA CẤP CÔNG NHÂN; NHẬN THỨC ĐẦY ĐỦ VÀ ĐÚNG BẢN CHẤT CỦA NỀN DÂN CHỦ XÃ HỘI CHỦ NGHĨA,,,SYL-Chủ nghĩa xã hội khoa học_LLNL1107,Quybui,,
q026,Kỹ năng giải quyết vấn đề dùng trong nghề nào?,single_hop,"Kỹ năng giải quyết vấn đề được yêu cầu trong một số nghề nghiệp như:

1. KẾ TOÁN QUẢN TRỊ
2. DATA ANALYST
3. TESTER
4. KỸ SƯ PHẦN MỀM
5. NHÂN VIÊN KINH DOANH TIẾNG TRUNG
6. LẬP TRÌNH GAME
7. NHÂN VIÊN TRIỂN KHAI PHẦN MỀM
8. CUSTOMER SUCCESS",KỸ NĂNG GIẢI QUYẾT VẤN ĐỀ,4:e50f6803-558c-4cc6-8924-1389cdd81472:569,KỸ NĂNG GIẢI QUYẾT VẤN ĐỀ,,,,Quybui,,
q027,Môn CHỦ NGHĨA XÃ HỘI KHOA HỌC có mã môn là gì,single_hop,"Môn ""CHỦ NGHĨA XÃ HỘI KHOA HỌC"" có mã môn là LLNL1107.",CHỦ NGHĨA XÃ HỘI KHOA HỌC,4:faea6990-b4df-4778-b420-d71faa741085:31,CHỦ NGHĨA XÃ HỘI KHOA HỌC,,,,Quybui,,
q028,Môn CHỦ NGHĨA XÃ HỘI KHOA HỌC cung cấp những kiến thức nào về chủ nghĩa xã hội và dân chủ xã hội chủ nghĩa,single_hop,"Môn CHỦ NGHĨA XÃ HỘI KHOA HỌC (mã môn: LLNL1107) cung cấp những kiến thức cơ bản về chủ nghĩa xã hội, bao gồm:

1. Nắm được kiến thức cơ bản về chủ nghĩa xã hội.
2. Nhận thức đầy đủ và đúng bản chất của nền dân chủ xã hội chủ nghĩa.
3. Nắm được những quan điểm cơ bản của chủ nghĩa Mác - Lênin về gia cấp công nhân.
4. Có khả năng tự học tập và làm việc độc lập cũng như theo nhóm.
5. Vận dụng phương pháp luận và các phương pháp chuyên ngành.

Những kiến thức này sẽ giúp sinh viên hiểu rõ hơn về lý thuyết và thực tiễn của chủ nghĩa xã hội và dân chủ xã hội chủ nghĩa.",CHỦ NGHĨA XÃ HỘI KHOA HỌC,4:e50f6803-558c-4cc6-8924-1389cdd81472:4,CHỦ NGHĨA XÃ HỘI KHOA HỌC,,,,Quybui,,
